DATE,CODE,RAW DATE,DAY,MONTH,YEAR,VALUE (R$)
2007-06-01,BM12_FCAFIN12,2007-06-01T00:00:00-03:00,1,6,2007,-0.002
2007-07-01,BM12_FCAFIN12,2007-07-01T00:00:00-03:00,1,7,2007,37.205
2007-08-01,BM12_FCAFIN12,2007-08-01T00:00:00-03:00,1,8,2007,-38.569
2007-09-01,BM12_FCAFIN12,2007-09-01T00:00:00-03:00,1,9,2007,0.0
2007-10-01,BM12_FCAFIN12,2007-10-01T00:00:00-03:00,1,10,2007,-0.136
2007-11-01,BM12_FCAFIN12,2007-11-01T00:00:00-02:00,1,11,2007,-0.023
2007-12-01,BM12_FCAFIN12,2007-12-01T00:00:00-02:00,1,12,2007,-0.05
2008-01-01,BM12_FCAFIN12,2008-01-01T00:00:00-02:00,1,1,2008,0.0
2008-02-01,BM12_FCAFIN12,2008-02-01T00:00:00-02:00,1,2,2008,-0.117
2008-03-01,BM12_FCAFIN12,2008-03-01T00:00:00-03:00,1,3,2008,0.805
2008-04-01,BM12_FCAFIN12,2008-04-01T00:00:00-03:00,1,4,2008,18.064
2008-05-01,BM12_FCAFIN12,2008-05-01T00:00:00-03:00,1,5,2008,-19.463
2008-06-01,BM12_FCAFIN12,2008-06-01T00:00:00-03:00,1,6,2008,-0.013
2008-07-01,BM12_FCAFIN12,2008-07-01T00:00:00-03:00,1,7,2008,-0.005
2008-08-01,BM12_FCAFIN12,2008-08-01T00:00:00-03:00,1,8,2008,-0.009
2008-09-01,BM12_FCAFIN12,2008-09-01T00:00:00-03:00,1,9,2008,28.064
2008-10-01,BM12_FCAFIN12,2008-10-01T00:00:00-03:00,1,10,2008,-28.327
2008-11-01,BM12_FCAFIN12,2008-11-01T00:00:00-02:00,1,11,2008,-0.065
2008-12-01,BM12_FCAFIN12,2008-12-01T00:00:00-02:00,1,12,2008,-0.007
2009-01-01,BM12_FCAFIN12,2009-01-01T00:00:00-02:00,1,1,2009,-0.095
2009-02-01,BM12_FCAFIN12,2009-02-01T00:00:00-02:00,1,2,2009,-0.072
2009-03-01,BM12_FCAFIN12,2009-03-01T00:00:00-03:00,1,3,2009,-0.047
2009-04-01,BM12_FCAFIN12,2009-04-01T00:00:00-03:00,1,4,2009,0.695
2009-05-01,BM12_FCAFIN12,2009-05-01T00:00:00-03:00,1,5,2009,-0.758
2009-06-01,BM12_FCAFIN12,2009-06-01T00:00:00-03:00,1,6,2009,22.106
2009-07-01,BM12_FCAFIN12,2009-07-01T00:00:00-03:00,1,7,2009,-22.533
2009-08-01,BM12_FCAFIN12,2009-08-01T00:00:00-03:00,1,8,2009,76.078
2009-09-01,BM12_FCAFIN12,2009-09-01T00:00:00-03:00,1,9,2009,-76.17
2009-10-01,BM12_FCAFIN12,2009-10-01T00:00:00-03:00,1,10,2009,435.772
2009-11-01,BM12_FCAFIN12,2009-11-01T00:00:00-02:00,1,11,2009,-436.126
2009-12-01,BM12_FCAFIN12,2009-12-01T00:00:00-02:00,1,12,2009,-0.031
2010-01-01,BM12_FCAFIN12,2010-01-01T00:00:00-02:00,1,1,2010,-0.122
2010-02-01,BM12_FCAFIN12,2010-02-01T00:00:00-02:00,1,2,2010,-0.002
2010-03-01,BM12_FCAFIN12,2010-03-01T00:00:00-03:00,1,3,2010,-0.004
2010-04-01,BM12_FCAFIN12,2010-04-01T00:00:00-03:00,1,4,2010,-0.085
2010-05-01,BM12_FCAFIN12,2010-05-01T00:00:00-03:00,1,5,2010,-0.038
2010-06-01,BM12_FCAFIN12,2010-06-01T00:00:00-03:00,1,6,2010,0.0
2010-07-01,BM12_FCAFIN12,2010-07-01T00:00:00-03:00,1,7,2010,0.0
2010-08-01,BM12_FCAFIN12,2010-08-01T00:00:00-03:00,1,8,2010,0.0
2010-09-01,BM12_FCAFIN12,2010-09-01T00:00:00-03:00,1,9,2010,0.0
